TIMESTAMP,STATION,TLFM1HR,TLFM10HR,TLFM100HR,TLFM1000HR,MP,XH,IC,KBDI,SC,EC,BI,LR,LO,HR,HO,FL,HRB,WDY,MSGC,FW13_NUM
2019-07-27 02:00:00,Manhattan,25,25,25,25,4,-100,0,0,0,0,0,0,0,0,0,0,15,0,16,142202
2019-07-27 03:00:00,Manhattan,20.12,24.5,25,25,4,-100,0.6,7,0.8,1.7,3.5,0,0,0,0,3,15,0,16,142202
2019-07-27 04:00:00,Manhattan,17.07,23.49,25,25,4,-100,1.7,7,1,3,4.9,0,0,0,0,3,15,0,16,142202
2019-07-27 05:00:00,Manhattan,15.7,22.64,25,25,4,-100,2.8,6,1.1,3.7,5.8,0,0,0,0,4,15,0,16,142202
2019-07-27 06:00:00,Manhattan,15.1,21.95,25,25,4,-100,3.5,5,1.3,4.2,6.5,0,0,0,0,5,15,0,16,142202
2019-07-27 07:00:00,Manhattan,14.52,21.13,25,25,4,-100,4.4,5,1.4,4.6,7.2,0,0,0,0,5,15,0,16,142202
2019-07-27 08:00:00,Manhattan,13.46,19.87,25,25,4,-100,6.9,6,2,5.4,9,0,0,0,0,6,15,0,16,142202
2019-07-27 09:00:00,Manhattan,12.26,18.39,25,25,4,-100,8.9,8,1.9,6.3,9.5,0,0,0,0,7,15,0,16,142202
2019-07-27 10:00:00,Manhattan,11.08,16.94,24,25,4,-100,11.5,10,1.8,7.4,10,0,0,0,0,7,15,0,16,142202
2019-07-27 11:00:00,Manhattan,9.81,15.28,24,25,4,-100,16.1,13,2.1,8.7,11.5,0,0,0,0,8,15,0,16,142202
2019-07-27 12:00:00,Manhattan,8.65,13.72,23,25,4,-100,22.5,15,2.7,10.2,13.7,0,0,0,0,10,15,0,16,142202
2019-07-27 13:00:00,Manhattan,7.73,12.38,22,25,4,-100,28.4,17,3,11.7,15.6,0,0,0,0,11,30,60,16,142202
2019-07-27 14:00:00,Manhattan,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2019-07-27 15:00:00,Manhattan,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2019-07-27 16:00:00,Manhattan,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2019-07-27 17:00:00,Manhattan,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2019-07-27 18:00:00,Manhattan,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2019-07-27 19:00:00,Manhattan,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2019-07-27 20:00:00,Manhattan,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2019-07-27 21:00:00,Manhattan,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2019-07-27 22:00:00,Manhattan,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2019-07-27 23:00:00,Manhattan,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2019-07-28 00:00:00,Manhattan,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2019-07-28 01:00:00,Manhattan,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
